zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
85257,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.46,-111.92,23800
85258,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.56,-111.9,20560
85259,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.6,-111.81,20040
85260,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.61,-111.89,32650
85261,PO BOX,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.49,-111.92,1074
85262,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.84,-111.81,9730
85263,STANDARD,0,Rio Verde,Scottsdale,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.73,-111.68,1550
85264,STANDARD,0,Fort Mcdowell,Scottsdale,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.75,-111.57,1280
85266,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.77,-111.92,9390
85267,PO BOX,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.61,-111.89,1168
85268,STANDARD,0,Fountain Hills,"Fountain Hls, Scottsdale",,AZ,Maricopa County,America/Phoenix,480,NA,US,33.6,-111.74,19040
85269,PO BOX,0,Fountain Hills,"Fountain Hls, Scottsdale",,AZ,Maricopa County,America/Phoenix,480,NA,US,33.6,-111.71,1453
85271,PO BOX,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.46,-111.91,727
85272,STANDARD,1,Stanfield,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.85,-111.97,2275
85273,STANDARD,1,Superior,,,AZ,Pinal County,America/Phoenix,,NA,US,33.28,-111.11,2327
85274,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.38,-111.87,996
85275,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.45,-111.76,958
85277,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.45,-111.72,1010
85278,STANDARD,1,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.41,-111.54,1123
85279,STANDARD,1,Florence,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.79,-111.21,0
85280,PO BOX,0,Tempe,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.4,-111.92,854
85281,STANDARD,0,Tempe,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.43,-111.91,31280
85282,STANDARD,0,Tempe,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.4,-111.92,40080
85283,STANDARD,0,Tempe,Guadalupe,,AZ,Maricopa County,America/Phoenix,"602,480",NA,US,33.36,-111.93,38910
85284,STANDARD,0,Tempe,,,AZ,Maricopa County,America/Phoenix,"480,520",NA,US,33.33,-111.93,18180
85285,PO BOX,0,Tempe,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.93,1794
85286,STANDARD,0,Chandler,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.27,-111.82,38090
85287,UNIQUE,0,Tempe,"Arizona State University, Asu",Arizona State Univ,AZ,Maricopa County,America/Phoenix,480,NA,US,33.42,-111.93,49
85289,UNIQUE,1,Tempe,,State Farm Ins,AZ,Maricopa County,America/Phoenix,480,NA,US,33.4,-111.96,0
85290,STANDARD,1,Apache Junction,"Apache Jct, Tortilla Flat",,AZ,Maricopa County,America/Phoenix,,NA,US,33.45,-111.63,32
85291,PO BOX,1,Valley Farms,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.99,-111.44,302
85292,STANDARD,1,Winkelman,Dudleyville,,AZ,Pinal County,America/Phoenix,,NA,US,32.94,-110.72,1402
85293,STANDARD,1,Casa Grande,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.85,-111.79,130
85294,STANDARD,1,Casa Grande,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.92,-111.61,271
85295,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.3,-111.74,40940
85296,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.34,-111.74,41720
85297,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.28,-111.73,31690
